1,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
4,Nope,Horror,Mystery,Sci-Fi
5,Bodies Bodies Bodies,Comedy,Horror,Thriller
6,Last Night in Soho,Drama,Horror,Mystery
7,The Munsters,Comedy,Family,Fantasy
9,Orphan: First Kill,Crime,Drama,Horror
10,Resident Evil: Welcome to Raccoon City,Action,Horror,Sci-Fi
11,Crimes of the Future,Drama,Horror,Sci-Fi
12,Men,Drama,Fantasy,Horror
13,Morbius,Action,Adventure,Horror
14,Day Shift,Action,Comedy,Fantasy
15,Malnazidos,Action,Adventure,Fantasy
16,Watcher,Drama,Horror,Thriller
17,Orphan,Horror,Mystery,Thriller
18,Midsommar,Drama,Horror,Mystery
20,American Psycho,Crime,Drama,Horror
21,Old,Drama,Horror,Mystery
22,Scream,Horror,Mystery,Thriller
23,Mad God,Animation,Fantasy,Horror
25,Srpski film,Horror,Mystery,Thriller
26,Get Out,Horror,Mystery,Thriller
27,Hellboy,Action,Adventure,Fantasy
28,The Mist,Horror,Sci-Fi,Thriller
29,Overlord,Action,Horror,Sci-Fi
30,Fresh,Comedy,Horror,Thriller
31,Hocus Pocus 2,Comedy,Family,Fantasy
32,Hereditary,Drama,Horror,Mystery
33,Spree,Action,Comedy,Crime
34,The Mortal Instruments: City of Bones,Action,Adventure,Fantasy
35,Resident Evil,Action,Horror,Sci-Fi
37,Prey,Action,Drama,Horror
39,It Chapter Two,Drama,Fantasy,Horror
41,The Conjuring,Horror,Mystery,Thriller
42,Scream 6,Horror,Mystery,Thriller
43,Us,Horror,Mystery,Thriller
44,Fear Street: 1994,Drama,Horror,Mystery
45,Alien: Covenant,Horror,Sci-Fi,Thriller
46,The Thing,Horror,Mystery,Sci-Fi
47,The VVitch: A New-England Folktale,Drama,Fantasy,Horror
48,Annihilation,Adventure,Drama,Horror
49,The Deadly Mantis,Family,Horror,Sci-Fi
2,Fear Street: 1978,Drama,Horror,Mystery
3,The Shallows,Action,Drama,Horror
4,Beast,Adventure,Drama,Horror
5,Sinister,Horror,Mystery,Thriller
6,The Cabin in the Woods,Horror,Mystery,Thriller
7,A Quiet Place Part II,Drama,Horror,Sci-Fi
9,Hocus Pocus,Comedy,Family,Fantasy
11,The Meg,Action,Horror,Sci-Fi
13,The Mummy,Action,Adventure,Fantasy
14,Sweeney Todd: The Demon Barber of Fleet Street,Drama,Horror,Musical
16,Mother!,Drama,Horror,Mystery
17,Underwater,Action,Horror,Sci-Fi
19,A Quiet Place,Drama,Horror,Sci-Fi
22,Predator,Action,Adventure,Horror
23,The Hunt,Action,Horror,Thriller
24,The Lighthouse,Drama,Fantasy,Horror
25,Lamb,Drama,Fantasy,Horror
27,Firestarter,Drama,Horror,Sci-Fi
28,Interview with the Vampire: The Vampire Chronicles,Drama,Fantasy,Horror
30,Resurrection,Crime,Drama,Horror
31,The Empty Man,Horror,Mystery,Thriller
33,Suspiria,Drama,Fantasy,Horror
34,Bone Tomahawk,Drama,Horror,Western
36,Ready or Not,Action,Comedy,Horror
37,From Dusk Till Dawn,Action,Crime,Horror
38,Psycho,Horror,Mystery,Thriller
40,Texas Chainsaw Massacre,Crime,Horror,Thriller
41,De uskyldige,Drama,Fantasy,Horror
43,Jeepers Creepers: Reborn,Horror,Mystery,Thriller
46,Army of the Dead,Action,Crime,Horror
47,Doctor Sleep,Drama,Fantasy,Horror
48,Brightburn,Drama,Horror,Mystery
49,28 Days Later...,Drama,Horror,Sci-Fi
1,The Night House,Horror,Mystery,Thriller
2,Insidious,Horror,Mystery,Thriller
3,Dracula,Drama,Fantasy,Horror
4,It Follows,Horror,Mystery,Thriller
5,Constantine,Action,Fantasy,Horror
7,Life,Horror,Sci-Fi,Thriller
9,El hoyo,Horror,Sci-Fi,Thriller
10,The Invisible Man,Drama,Horror,Mystery
12,World War Z,Action,Adventure,Horror
16,Event Horizon,Horror,Sci-Fi,Thriller
17,The New Mutants,Action,Horror,Mystery
18,10 Cloverfield Lane,Drama,Horror,Mystery
19,Hellboy,Action,Adventure,Fantasy
20,Busanhaeng,Action,Horror,Thriller
21,Under the Skin,Drama,Horror,Mystery
22,Malignant,Crime,Horror,Mystery
23,What Ever Happened to Baby Jane?,Drama,Horror,Thriller
24,Saw,Horror,Mystery,Thriller
31,Blade,Action,Horror,Sci-Fi
32,The Rocky Horror Picture Show,Comedy,Horror,Musical
33,The Others,Horror,Mystery,Thriller
34,Don't Breathe,Crime,Horror,Thriller
36,Titane,Drama,Horror,Sci-Fi
37,The Killing of a Sacred Deer,Drama,Horror,Mystery
38,Eight for Silver,Fantasy,Horror,Mystery
39,The Poughkeepsie Tapes,Horror,Mystery,Thriller
42,Vivarium,Horror,Mystery,Sci-Fi
43,The Crow,Action,Crime,Drama
44,Hotel Transylvania: Transformania,Animation,Adventure,Comedy
45,Escape Room: Tournament of Champions,Action,Adventure,Horror
46,The Conjuring: The Devil Made Me Do It,Horror,Mystery,Thriller
47,The Descent,Adventure,Horror,Thriller
48,The Craft,Drama,Fantasy,Horror
0,Zombieland,Action,Comedy,Horror
2,They Live,Action,Horror,Sci-Fi
3,A Cure for Wellness,Drama,Fantasy,Horror
4,Don't Breathe 2,Action,Crime,Horror
5,The Rental,Drama,Horror,Mystery
6,Urban Legend,Horror,Mystery,Thriller
8,The Visit,Horror,Mystery,Thriller
10,Spiral: From the Book of Saw,Crime,Horror,Mystery
11,Little Shop of Horrors,Comedy,Horror,Musical
12,The Fly,Drama,Horror,Sci-Fi
13,Friday the 13th,Horror,Mystery,Thriller
15,47 Meters Down,Adventure,Drama,Horror
19,Antlers,Drama,Horror,Mystery
20,Vampires,Action,Horror,Thriller
21,Jaws 2,Adventure,Horror,Thriller
22,Escape Room,Action,Adventure,Horror
24,Gerald's Game,Drama,Horror,Thriller
27,The Purge,Horror,Sci-Fi,Thriller
28,La tua presenza nuda!,Crime,Drama,Horror
30,Ang-ma-reul bo-at-da,Action,Crime,Drama
31,Resident Evil: Apocalypse,Action,Horror,Sci-Fi
35,Doom,Action,Horror,Sci-Fi
36,Mandy,Action,Fantasy,Horror
38,The House That Jack Built,Crime,Drama,Horror
41,Pitch Black,Action,Horror,Sci-Fi
43,Climax,Drama,Horror,Music
44,The Conjuring 2,Horror,Mystery,Thriller
45,Dark Shadows,Comedy,Fantasy,Horror
48,Gremlins,Comedy,Fantasy,Horror
0,Marrowbone,Adventure,Drama,Horror
1,Glass,Drama,Horror,Sci-Fi
2,Blair Witch,Horror,Mystery,Thriller
3,Evil Dead Rise,Fantasy,Horror,Thriller
5,Sleepy Hollow,Fantasy,Horror,Mystery
6,The Mummy: Tomb of the Dragon Emperor,Action,Fantasy,Horror
7,Cloverfield,Action,Horror,Sci-Fi
10,The Cloverfield Paradox,Action,Horror,Sci-Fi
12,Choose or Die,Drama,Horror,Thriller
15,Resident Evil: Retribution,Action,Horror,Sci-Fi
17,No One Gets Out Alive,Drama,Horror,Mystery
18,Antichrist,Drama,Horror,Thriller
19,The Cell,Crime,Horror,Sci-Fi
20,Fantasy Island,Fantasy,Horror,Mystery
21,The Forever Purge,Action,Horror,Thriller
22,Scary Stories to Tell in the Dark,Adventure,Horror,Mystery
23,Teeth,Comedy,Fantasy,Horror
27,The Dead Don't Die,Comedy,Fantasy,Horror
28,Gokseong,Drama,Horror,Mystery
29,The Ritual,Horror,Mystery,Thriller
30,Crawl,Action,Adventure,Horror
31,Freaky,Comedy,Horror,Thriller
33,Alien Resurrection,Action,Horror,Sci-Fi
35,The Boy,Horror,Mystery,Thriller
36,Friday the 13th,Horror,Mystery,Thriller
37,The Faculty,Horror,Mystery,Sci-Fi
38,Halloween,Crime,Horror,Thriller
40,The Witches,Adventure,Comedy,Family
41,Angel Heart,Horror,Mystery,Thriller
42,Alien³,Action,Horror,Sci-Fi
43,The Nun,Horror,Mystery,Thriller
45,Willy's Wonderland,Action,Comedy,Horror
46,Crimson Peak,Drama,Horror,Mystery
47,Studio 666,Comedy,Horror,Music
49,Death Becomes Her,Comedy,Fantasy,Horror
0,The Turning,Drama,Horror,Mystery
1,Cube,Drama,Horror,Mystery
3,AVP: Alien vs. Predator,Action,Adventure,Horror
4,Unhinged,Action,Horror,Thriller
6,Hotel Transylvania,Animation,Adventure,Comedy
7,Annabelle,Horror,Mystery,Thriller
8,The Invitation,Drama,Horror,Mystery
9,Gwoemul,Action,Drama,Horror
10,Resident Evil: The Final Chapter,Action,Horror,Sci-Fi
12,Alone,Drama,Horror,Mystery
13,Ghostland,Drama,Horror,Mystery
15,The Devil's Rejects,Crime,Horror,Western
20,Things Heard &amp; Seen,Drama,Horror,Mystery
22,47 Meters Down: Uncaged,Adventure,Drama,Horror
24,1408,Fantasy,Horror,Mystery
27,The Covenant,Action,Adventure,Fantasy
28,The Eden Theory,Horror,Sci-Fi,Thriller
29,Case 39,Horror,Mystery,Thriller
31,Saint Maud,Drama,Horror,Mystery
32,Haunted Mansion,Comedy,Drama,Family
33,Underworld: Blood Wars,Action,Adventure,Fantasy
34,Hellboy II: The Golden Army,Action,Adventure,Fantasy
35,The Addams Family 2,Animation,Adventure,Comedy
36,Annabelle: Creation,Horror,Mystery,Thriller
38,Jaws 3-D,Adventure,Horror,Thriller
40,The Return of the Living Dead,Comedy,Horror,Sci-Fi
41,The Autopsy of Jane Doe,Horror,Mystery,Thriller
47,Scooby-Doo 2: Monsters Unleashed,Adventure,Comedy,Family
49,Species,Action,Horror,Sci-Fi
2,Resident Evil: Extinction,Action,Horror,Sci-Fi
5,Let Me In,Drama,Fantasy,Horror
6,Green Room,Crime,Drama,Horror
7,28 Weeks Later,Action,Adventure,Horror
8,High Life,Adventure,Drama,Horror
9,Blade,Action,Adventure,Fantasy
10,Death Note,Crime,Drama,Fantasy
11,In the Mouth of Madness,Drama,Fantasy,Horror
12,Zombieland: Double Tap,Action,Comedy,Horror
13,Jaws: The Revenge,Adventure,Horror,Thriller
14,Hollow Man,Action,Horror,Sci-Fi
15,The Deep House,Drama,Horror,Mystery
16,Predator 2,Action,Horror,Sci-Fi
18,Kol,Crime,Horror,Mystery
20,Possessor,Horror,Mystery,Sci-Fi
21,The Island of Dr. Moreau,Horror,Sci-Fi,Thriller
22,The Thing,Horror,Mystery,Sci-Fi
23,Anaconda,Action,Adventure,Horror
26,Pandorum,Action,Horror,Mystery
27,Eli,Drama,Horror,Mystery
28,The Strangers,Horror,Mystery,Thriller
29,Legion,Action,Fantasy,Horror
31,Umma,Drama,Horror,Mystery
33,Pet Sematary,Fantasy,Horror,Thriller
34,Megan Is Missing,Drama,Horror,Thriller
35,Blood Red Sky,Action,Adventure,Fantasy
36,Velvet Buzzsaw,Horror,Mystery,Thriller
37,A Nightmare on Elm Street,Crime,Drama,Horror
39,Deliver Us from Evil,Action,Adventure,Crime
40,The Exorcism of Emily Rose,Drama,Horror,Thriller
41,M3GAN,Horror,Sci-Fi,Thriller
42,The Birds,Drama,Horror,Mystery
43,Unhuman,Comedy,Horror,Thriller
44,Bones and All,Drama,Horror,Romance
46,Dog Soldiers,Action,Horror,Thriller
47,The Pale Blue Eye,Crime,Horror,Mystery
48,Aftermath,Drama,Horror,Mystery
49,Piranha 3DD,Comedy,Horror,Sci-Fi
0,Hansel &amp; Gretel: Witch Hunters,Action,Fantasy,Horror
1,There's Someone Inside Your House,Horror,Mystery,Thriller
2,The Lodge,Drama,Horror,Mystery
4,Ouija: Origin of Evil,Drama,Horror,Mystery
5,Kimetsu no Yaiba: Mugen Ressha-Hen,Animation,Action,Adventure
6,The Furies,Action,Horror,Thriller
7,Silent Night,Comedy,Drama,Horror
8,"As Above, So Below",Horror,Mystery,Thriller
9,Pride and Prejudice and Zombies,Action,Comedy,Fantasy
10,Blade II,Action,Horror,Sci-Fi
13,Disappointment Blvd.,Comedy,Drama,Horror
14,Happy Death Day,Comedy,Horror,Mystery
17,AVPR: Aliens vs Predator - Requiem,Action,Adventure,Horror
18,La piel que habito,Drama,Horror,Thriller
20,Planet Terror,Action,Comedy,Fantasy
21,Braindead,Comedy,Fantasy,Horror
22,They Look Like People,Drama,Horror,Mystery
26,Monstrous,Horror,Mystery,Thriller
29,Lifeforce,Action,Horror,Mystery
30,Firestarter,Action,Horror,Sci-Fi
32,Jacob's Ladder,Drama,Horror,Mystery
33,The Last House on the Left,Crime,Horror,Thriller
34,Låt den rätte komma in,Drama,Fantasy,Horror
35,The Gift,Drama,Fantasy,Horror
36,Resident Evil: Afterlife,Action,Horror,Sci-Fi
37,Paranormal Activity: Next of Kin,Horror,Mystery,Thriller
39,1922,Crime,Drama,Horror
40,Goosebumps,Adventure,Comedy,Fantasy
41,Dracula Untold,Action,Drama,Fantasy
45,I See You,Crime,Drama,Horror
47,Grindhouse,Action,Horror,Thriller
49,Blade: Trinity,Action,Horror,Sci-Fi
3,Mama,Fantasy,Horror,Thriller
4,The Grudge,Horror,Mystery,Thriller
5,Night Teeth,Action,Crime,Drama
6,Beetlejuice 2,Comedy,Fantasy,Horror
7,Twin Peaks: Fire Walk with Me,Drama,Horror,Mystery
8,Renfield,Comedy,Fantasy,Horror
11,Annabelle Comes Home,Horror,Mystery,Thriller
12,Skinwalker Ranch,Horror,Mystery,Sci-Fi
13,His House,Drama,Horror,Thriller
14,[Rec],Horror,Mystery,Thriller
16,Color Out of Space,Horror,Mystery,Sci-Fi
17,It Comes at Night,Drama,Horror,Mystery
18,The Wicker Man,Horror,Mystery,Thriller
19,The Bad Batch,Action,Horror,Mystery
20,Tumbbad,Drama,Fantasy,Horror
21,Underworld: Awakening,Action,Fantasy,Horror
22,#Saraitda,Action,Drama,Horror
23,The Wolf of Snow Hollow,Comedy,Horror,Mystery
25,The Unholy,Drama,Horror,Mystery
27,South of Heaven,Action,Crime,Drama
28,Buffy the Vampire Slayer,Action,Comedy,Fantasy
30,Amsterdamned,Action,Crime,Horror
31,Ôdishon,Drama,Horror,Mystery
32,Werewolves Within,Comedy,Horror,Mystery
33,The Endless,Drama,Fantasy,Horror
34,The Twin,Drama,Horror,Mystery
35,Spawn,Action,Drama,Horror
37,Maximum Overdrive,Action,Comedy,Horror
39,Satanico Pandemonium: La Sexorcista,Horror,Mystery,Thriller
40,Shadow in the Cloud,Action,Horror,War
43,The Craft: Legacy,Drama,Fantasy,Horror
44,Return to Oz,Adventure,Family,Fantasy
45,From Hell,Horror,Mystery,Thriller
46,Better Watch Out,Comedy,Horror,Thriller
47,Don't Look Now,Drama,Horror,Mystery
48,Hellraiser,Horror,Mystery,Thriller
49,I onde dager,Action,Comedy,Horror
0,Apostle,Drama,Fantasy,Horror
1,Busanhaeng 2: Bando,Action,Horror,Thriller
2,What Lies Beneath,Drama,Horror,Mystery
5,Revenge,Action,Horror,Thriller
6,The Room,Drama,Fantasy,Horror
7,Leviathan,Adventure,Horror,Mystery
9,Warm Bodies,Comedy,Horror,Romance
10,Backcountry,Adventure,Drama,Horror
14,The Frighteners,Comedy,Fantasy,Horror
15,Videodrome,Horror,Sci-Fi,Thriller
16,Friday the 13th Part 2,Horror,Mystery,Thriller
17,Cat People,Fantasy,Horror,Thriller
19,Il racconto dei racconti - Tale of Tales,Drama,Fantasy,Horror
20,Scouts Guide to the Zombie Apocalypse,Action,Comedy,Horror
21,Rogue,Action,Drama,Horror
22,Daybreakers,Action,Horror,Sci-Fi
25,Flux Gourmet,Comedy,Drama,Horror
26,Assassination Nation,Action,Comedy,Crime
27,The Witches,Adventure,Comedy,Family
28,The Call,Action,Adventure,Crime
29,Summer of 84,Drama,Horror,Mystery
31,Spontaneous,Comedy,Drama,Horror
32,Prisoners of the Ghostland,Fantasy,Horror,Thriller
33,Hidden,Horror,Sci-Fi,Thriller
34,Hotel Transylvania 3: Summer Vacation,Animation,Adventure,Comedy
36,Bride of Chucky,Comedy,Horror,Thriller
37,Bhool Bhulaiyaa,Comedy,Horror,Mystery
39,Frankenstein,Drama,Horror,Romance
40,Yoga Hosers,Action,Comedy,Horror
41,Violent Night,Action,Comedy,Crime
43,The Final Girls,Comedy,Drama,Fantasy
44,Slender Man,Horror,Mystery,Thriller
45,The Curse of La Llorona,Horror,Mystery,Thriller
46,Insidious: Chapter 2,Horror,Mystery,Thriller
48,Sinister 2,Horror,Mystery,Thriller
49,Slither,Comedy,Horror,Sci-Fi
